Index,Folder,Filename,Image Size,BBox,BBox_Face,Categorical_Labels,Continuous_Labels,Gender,Age
72,framesdb/images,frame_63mtckpdjfc0y9q8.jpg,"[4000, 2508]","[1555, 301, 2187, 2093]","[356, 174, 498, 358]","['Anticipation', 'Peace', 'Yearning']","[5, 7, 5]",Male,Adult
73,mscoco/images,COCO_val2014_000000202476.jpg,"[640, 427]","[286, 66, 507, 426]","[77, 30, 114, 79]","['Anticipation', 'Confidence', 'Engagement']","[5, 8, 7]",Male,Adult
74,mscoco/images,COCO_train2014_000000269588.jpg,"[640, 635]","[107, 91, 302, 612]","[61, 25, 103, 75]","['Anticipation', 'Yearning']","[6, 7, 6]",Male,Adult
75,mscoco/images,COCO_train2014_000000106596.jpg,"[640, 458]","[176, 25, 351, 452]","[55, 23, 113, 102]",['Confidence'],"[6, 7, 7]",Male,Adult
76,mscoco/images,COCO_train2014_000000385744.jpg,"[640, 427]","[26, 64, 300, 420]","[63, 23, 109, 92]",['Yearning'],"[5, 4, 7]",Female,Adult
77,mscoco/images,COCO_train2014_000000385744.jpg,"[640, 427]","[393, 56, 578, 302]","[63, 17, 108, 76]","['Anticipation', 'Esteem', 'Happiness', 'Pleasure']","[5, 5, 6]",Female,Adult
78,mscoco/images,COCO_train2014_000000147012.jpg,"[640, 480]","[305, 86, 411, 326]","[36, 27, 83, 88]",['Engagement'],"[7, 7, 7]",Male,Adult
79,mscoco/images,COCO_train2014_000000147012.jpg,"[640, 480]","[336, 119, 534, 472]","[70, 38, 128, 108]","['Excitement', 'Happiness', 'Pleasure']","[6, 7, 7]",Male,Adult
80,mscoco/images,COCO_train2014_000000334220.jpg,"[640, 425]","[105, 80, 202, 322]","[47, 15, 89, 71]",['Pleasure'],"[6, 7, 7]",Female,Adult
81,framesdb/images,frame_0v2clxpnah9oj514.jpg,"[634, 455]","[54, 6, 314, 405]","[134, 32, 195, 115]",['Engagement'],"[5, 2, 8]",Male,Adult
82,framesdb/images,frame_1cnsgmoppetoruv9.jpg,"[900, 600]","[554, 327, 716, 599]","[47, 46, 85, 96]",['Engagement'],"[4, 7, 7]",Male,Adult
83,framesdb/images,frame_hqxrmmcc6c2zqzr4.jpg,"[450, 320]","[61, 20, 213, 213]","[49, 5, 105, 75]","['Excitement', 'Happiness']","[7, 4, 6]",Female,Adult
84,framesdb/images,frame_4b7yta6mg9sm2x6n.jpg,"[1100, 619]","[227, 18, 613, 618]","[150, 38, 219, 140]",['Excitement'],"[8, 8, 7]",Male,Adult
85,framesdb/images,frame_4b7yta6mg9sm2x6n.jpg,"[1100, 619]","[662, 358, 777, 616]","[50, 15, 80, 55]",['Surprise'],"[6, 6, 6]",Male,Adult
86,mscoco/images,COCO_train2014_000000389772.jpg,"[640, 480]","[330, 65, 478, 461]","[26, 22, 57, 62]","['Confidence', 'Excitement', 'Happiness']","[8, 8, 9]",Female,Teenager
87,mscoco/images,COCO_train2014_000000389772.jpg,"[640, 480]","[198, 53, 347, 466]","[83, 13, 116, 56]","['Confidence', 'Engagement', 'Esteem', 'Excitement', 'Happiness', 'Peace', 'Pleasure']","[7, 6, 8]",Male,Adult
88,mscoco/images,COCO_train2014_000000213135.jpg,"[640, 480]","[240, 8, 510, 384]","[71, 49, 185, 190]","['Engagement', 'Excitement']","[8, 8, 7]",Male,Kid
89,mscoco/images,COCO_train2014_000000256276.jpg,"[640, 480]","[75, 41, 317, 472]","[173, 26, 232, 97]",['Engagement'],"[9, 2, 7]",Female,Adult
90,mscoco/images,COCO_train2014_000000256276.jpg,"[640, 480]","[356, 30, 574, 479]","[50, 40, 109, 115]","['Engagement', 'Excitement', 'Happiness']","[6, 7, 6]",Male,Adult
91,framesdb/images,frame_jbtqq5ahai9ylby3.jpg,"[4576, 3376]","[1935, 466, 3805, 3203]","[386, 0, 647, 333]",['Anger'],"[3, 7, 9]",Male,Adult
92,framesdb/images,frame_jbtqq5ahai9ylby3.jpg,"[4576, 3376]","[1, 39, 383, 2679]","[0, 110, 198, 443]","['Confidence', 'Engagement']","[7, 3, 4]",Male,Adult
93,mscoco/images,COCO_train2014_000000006692.jpg,"[640, 640]","[167, 8, 446, 578]","[142, 16, 191, 81]",['Happiness'],"[7, 7, 7]",Male,Adult
94,mscoco/images,COCO_train2014_000000360548.jpg,"[640, 480]","[374, 167, 491, 479]","[27, 17, 67, 64]",['Happiness'],"[9, 2, 8]",Female,Adult
95,mscoco/images,COCO_val2014_000000047801.jpg,"[612, 612]","[58, 80, 559, 529]","[191, 30, 324, 222]","['Anticipation', 'Confidence', 'Peace', 'Pleasure']","[8, 5, 9]",Male,Adult
96,mscoco/images,COCO_train2014_000000002842.jpg,"[640, 480]","[359, 124, 547, 435]","[112, 10, 135, 42]","['Anger', 'Disquietment', 'Doubt/Confusion']","[5, 6, 5]",Male,Adult
97,framesdb/images,frame_2m658fp3xgkeqkug.jpg,"[1600, 1067]","[460, 235, 1599, 1066]","[112, 227, 338, 470]","['Happiness', 'Pleasure']","[5, 2, 7]",Male,Adult
98,mscoco/images,COCO_train2014_000000042312.jpg,"[640, 515]","[61, 25, 586, 505]","[296, 42, 414, 194]",['Engagement'],"[7, 7, 7]",Male,Adult
99,ade20k/images,sun_ajjqvlkgojhqxjal.jpg,"[1818, 1228]","[1196, 116, 1808, 1219]","[171, 117, 296, 345]",['Engagement'],"[5, 3, 6]",Male,Adult
100,framesdb/images,frame_c9ctv7ctm2dnic4v.jpg,"[1600, 1521]","[566, 9, 1103, 1028]","[203, 217, 385, 435]","['Engagement', 'Esteem']","[5, 6, 6]",Female,Kid
101,framesdb/images,frame_c9ctv7ctm2dnic4v.jpg,"[1600, 1521]","[1067, 372, 1585, 1153]","[100, 126, 294, 382]",['Happiness'],"[5, 4, 3]",Male,Kid
102,mscoco/images,COCO_train2014_000000230061.jpg,"[640, 480]","[161, 197, 274, 479]","[44, 20, 73, 57]",['Engagement'],"[5, 6, 6]",Female,Adult
103,framesdb/images,frame_k43u0wqy98p0ihaw.jpg,"[3888, 2592]","[1000, 770, 3407, 2576]","[690, 1085, 1240, 1607]","['Excitement', 'Happiness', 'Peace']","[7, 3, 4]",Female,Adult
104,mscoco/images,COCO_train2014_000000181929.jpg,"[640, 426]","[427, 100, 562, 403]","[68, 17, 102, 70]","['Confidence', 'Engagement']","[7, 7, 7]",Male,Adult
105,mscoco/images,COCO_train2014_000000248403.jpg,"[375, 500]","[77, 28, 333, 333]","[16, 39, 117, 181]",['Happiness'],"[5, 4, 7]",Female,Adult
106,mscoco/images,COCO_train2014_000000219935.jpg,"[640, 480]","[181, 128, 312, 452]","[60, 12, 90, 49]","['Disconnection', 'Engagement']","[3, 3, 3]",Male,Adult
107,mscoco/images,COCO_train2014_000000129510.jpg,"[640, 431]","[338, 87, 459, 403]","[80, 14, 103, 41]","['Anticipation', 'Engagement']","[6, 4, 6]",Male,Adult
108,mscoco/images,COCO_val2014_000000505818.jpg,"[640, 480]","[62, 29, 201, 436]","[56, 5, 90, 59]","['Engagement', 'Pleasure', 'Yearning']","[7, 4, 7]",Male,Adult
109,mscoco/images,COCO_train2014_000000512854.jpg,"[640, 480]","[326, 21, 470, 400]","[61, 81, 90, 119]","['Happiness', 'Pleasure']","[8, 2, 10]",Male,Adult
110,mscoco/images,COCO_train2014_000000415551.jpg,"[640, 436]","[88, 55, 629, 430]","[196, 36, 326, 220]","['Anticipation', 'Engagement']","[6, 4, 7]",Male,Adult
111,emodb_small/images,edknfl4d7l58nt06sm.jpg,"[226, 340]","[27, 1, 226, 226]","[65, 15, 217, 174]","['Annoyance', 'Aversion', 'Fatigue', 'Suffering']","[2, 7, 2]",Male,Kid
112,framesdb/images,frame_a7xhjxzcp8nhw69p.jpg,"[3264, 2448]","[2130, 88, 3214, 2394]","[533, 209, 772, 537]",['Engagement'],"[5, 3, 3]",Female,Adult
113,mscoco/images,COCO_val2014_000000222681.jpg,"[640, 480]","[310, 143, 508, 386]","[93, 32, 150, 102]","['Anticipation', 'Engagement', 'Esteem']","[7, 7, 7]",Female,Kid
114,mscoco/images,COCO_train2014_000000439678.jpg,"[640, 425]","[87, 61, 217, 419]","[72, 13, 101, 49]",['Happiness'],"[6, 3, 7]",Female,Teenager
115,mscoco/images,COCO_train2014_000000439678.jpg,"[640, 425]","[392, 66, 485, 411]","[23, 18, 47, 49]","['Affection', 'Confidence', 'Esteem', 'Happiness']","[7, 3, 9]",Female,Teenager
116,mscoco/images,COCO_train2014_000000298031.jpg,"[640, 480]","[215, 200, 558, 471]","[158, 18, 195, 67]",['Suffering'],"[7, 4, 7]",Male,Adult
117,mscoco/images,COCO_val2014_000000148911.jpg,"[639, 640]","[206, 130, 382, 483]","[85, 29, 118, 73]","['Anticipation', 'Engagement', 'Excitement', 'Happiness']","[7, 9, 9]",Male,Kid
118,mscoco/images,COCO_train2014_000000426839.jpg,"[640, 488]","[27, 10, 506, 480]","[238, 69, 425, 360]","['Anticipation', 'Engagement', 'Esteem']","[6, 4, 7]",Male,Adult
119,mscoco/images,COCO_train2014_000000567082.jpg,"[640, 429]","[351, 200, 469, 423]","[65, 9, 98, 56]",['Engagement'],"[5, 4, 7]",Male,Adult
120,mscoco/images,COCO_train2014_000000458057.jpg,"[640, 426]","[221, 83, 365, 274]","[63, 17, 98, 62]","['Confidence', 'Engagement', 'Peace', 'Sympathy']","[6, 6, 7]",Male,Adult
121,framesdb/images,frame_gko26fo2wzz06i1r.jpg,"[700, 501]","[326, 68, 562, 464]","[105, 8, 139, 49]","['Excitement', 'Happiness']","[8, 6, 7]",Male,Adult
122,mscoco/images,COCO_train2014_000000457168.jpg,"[640, 449]","[310, 122, 424, 329]","[25, 23, 68, 71]","['Peace', 'Pleasure']","[5, 4, 7]",Male,Kid
123,mscoco/images,COCO_train2014_000000552985.jpg,"[640, 601]","[169, 110, 529, 441]","[111, 80, 245, 231]","['Confidence', 'Excitement', 'Happiness']","[8, 6, 8]",Male,Adult
124,mscoco/images,COCO_train2014_000000481931.jpg,"[640, 458]","[199, 21, 334, 278]","[23, 39, 72, 93]",['Engagement'],"[7, 4, 6]",Male,Adult
125,framesdb/images,frame_8z9jb1ci5zo2x7tt.jpg,"[900, 613]","[232, 63, 528, 603]","[186, 54, 265, 147]",['Engagement'],"[6, 6, 7]",Female,Teenager
126,framesdb/images,frame_8z9jb1ci5zo2x7tt.jpg,"[900, 613]","[559, 138, 892, 608]","[52, 6, 127, 122]",['Engagement'],"[6, 6, 6]",Female,Adult
127,framesdb/images,frame_8z9jb1ci5zo2x7tt.jpg,"[900, 613]","[512, 220, 654, 405]","[45, 23, 89, 75]",['Engagement'],"[4, 4, 9]",Female,Adult
128,framesdb/images,frame_8z9jb1ci5zo2x7tt.jpg,"[900, 613]","[1, 48, 162, 606]","[2, 109, 87, 253]",['Engagement'],"[5, 6, 7]",Female,Teenager
129,mscoco/images,COCO_train2014_000000412720.jpg,"[640, 427]","[75, 116, 218, 275]","[71, 25, 100, 62]",['Engagement'],"[6, 8, 4]",Female,Adult
130,emodb_small/images,007eear5kx5qhbzewz.jpg,"[400, 580]","[215, 111, 400, 352]","[19, 22, 98, 123]","['Affection', 'Happiness', 'Pleasure']","[8, 4, 10]",Female,Adult
131,emodb_small/images,007eear5kx5qhbzewz.jpg,"[400, 580]","[28, 1, 400, 398]","[206, 135, 285, 232]","['Affection', 'Confidence', 'Happiness']","[8, 3, 7]",Male,Kid
132,mscoco/images,COCO_val2014_000000553443.jpg,"[640, 360]","[182, 112, 488, 355]","[86, 25, 175, 137]",['Peace'],"[5, 6, 9]",Male,Adult
133,mscoco/images,COCO_val2014_000000553443.jpg,"[640, 360]","[114, 153, 243, 349]","[73, 11, 103, 50]","['Annoyance', 'Disquietment', 'Fatigue']","[5, 4, 7]",Female,Adult
134,framesdb/images,frame_dmt5sh6c2mlvoqp0.jpg,"[852, 480]","[12, 5, 434, 470]","[351, 33, 404, 104]","['Anticipation', 'Engagement', 'Happiness']","[8, 6, 7]",Female,Adult
135,framesdb/images,frame_dmt5sh6c2mlvoqp0.jpg,"[852, 480]","[431, 1, 783, 479]","[117, 5, 167, 66]","['Excitement', 'Happiness']","[8, 5, 7]",Male,Adult
136,mscoco/images,COCO_train2014_000000510594.jpg,"[549, 640]","[184, 60, 383, 328]","[104, 25, 156, 91]",['Annoyance'],"[6, 7, 6]",Male,Adult
137,mscoco/images,COCO_train2014_000000510594.jpg,"[549, 640]","[9, 30, 233, 436]","[46, 33, 93, 95]","['Annoyance', 'Anticipation', 'Aversion', 'Disapproval', 'Disquietment', 'Fatigue']","[6, 8, 7]",Male,Adult
138,mscoco/images,COCO_train2014_000000377110.jpg,"[640, 424]","[175, 35, 620, 422]","[182, 22, 253, 117]","['Confidence', 'Happiness', 'Peace']","[8, 8, 9]",Male,Adult
139,framesdb/images,frame_isu79b1cwubdfhmg.jpg,"[846, 480]","[472, 43, 835, 473]","[88, 51, 193, 200]",['Engagement'],"[6, 4, 2]",Female,Kid
140,mscoco/images,COCO_val2014_000000203466.jpg,"[640, 427]","[152, 111, 326, 393]","[64, 37, 108, 92]","['Anticipation', 'Confidence', 'Engagement']","[6, 4, 7]",Male,Adult
141,emodb_small/images,2wd2hxmqz5sbgy2ypo.jpg,"[350, 588]","[2, 1, 316, 349]","[154, 8, 301, 200]","['Affection', 'Happiness', 'Pleasure', 'Sensitivity', 'Sympathy']","[7, 5, 3]",Male,Adult
142,emodb_small/images,2wd2hxmqz5sbgy2ypo.jpg,"[350, 588]","[237, 2, 350, 345]","[18, 6, 134, 260]","['Affection', 'Engagement', 'Excitement', 'Happiness', 'Pleasure']","[9, 6, 6]",Female,Adult
143,mscoco/images,COCO_val2014_000000072376.jpg,"[640, 480]","[265, 43, 558, 471]","[106, 18, 146, 68]","['Engagement', 'Excitement']","[6, 9, 9]",Male,Adult
144,mscoco/images,COCO_train2014_000000480947.jpg,"[640, 427]","[291, 82, 410, 389]","[54, 15, 85, 53]","['Disapproval', 'Surprise']","[5, 8, 6]",Female,Adult
145,mscoco/images,COCO_train2014_000000480947.jpg,"[640, 427]","[113, 62, 221, 322]","[58, 16, 78, 41]","['Confidence', 'Engagement']","[6, 8, 6]",Female,Adult
